x1,x2,x3,f(x1,x2,x3)
7239962,5672686,0.23,53039.71,,
5058301,3784589,0.16,52443.18,,
3667485,4951691,0.15,51970.78,,
6903150,5866196,0.23,51387.06,,
2974994,4726695,0.14,50588.66,,
2238843,8044435,0.15,50049.66,,
9762288,2374829,0.18,48935.48,,
6936378,1708042,0.13,48818.64,,
8367674,9477283,0.33,48618.32,,
5788141,7005673,0.24,48270.95,,
5788449,8698650,0.26,48174.87,,
9452783,7614410,0.32,48054.39,,
9467380,7880120,0.32,47940.06,,
3888557,5727993,0.18,47937.89,,
5801098,4590811,0.19,47923.43,,
9397718,4654530,0.25,47531.68,,
7715925,3087168,0.18,47149.22,,
8923280,5483848,0.26,46832.3,,
3446622,7022200,0.19,46750.99,,
1645158,7449413,0.13,46445.2,,
6131253,3955632,0.19,46250.66,,
5232802,3437702,0.16,45355.63,,
7369922,861873,0.1,45101.27,,
5868597,2591236,0.15,44361.89,,
8904590,9525735,0.36,44309.22,,
5870905,9390302,0.29,43913.09,,
6111181,9453146,0.3,43905.53,,
7557040,7579852,0.3,43735.26,,
5288815,9952817,0.28,43603.85,,
4664865,4055984,0.17,43588.13,,
1891551,3543251,0.1,42312.25,,
3573383,2570956,0.12,42272.74,,
6902405,8984678,0.31,42123.28,,
4899591,8940655,0.26,42111.71,,
6962204,3848919,0.21,41923.91,,
6932681,1219595,0.12,41876.54,,
5093859,4026807,0.18,41557.79,,
8449643,2801767,0.2,41516.74,,
8288148,9056269,0.35,41450.58,,
4411112,7656998,0.23,41297.5,,
9508563,2774851,0.21,41027.05,,
6340320,2066924,0.15,40819.29,,
9972893,2382171,0.2,40428.08,,
8508515,6806863,0.31,40358.44,,
9162361,1933908,0.17,40320.24,,
6771742,7918675,0.3,40299.78,,
7951664,5219860,0.26,40267.11,,
6445490,4231021,0.21,40249.59,,
6483233,9515778,0.32,40241.52,,
8783763,8836527,0.36,39946.26,,
7842110,5546632,0.27,39928.84,,
5386018,6308989,0.24,39803.81,,
8174113,9293413,0.36,39458.33,,
9058880,9809470,0.39,39415.43,,
9069893,9292533,0.38,39023.96,,
5811555,2356225,0.15,38755.54,,
9175649,6044582,0.31,38660.49,,
1490575,7068843,0.14,38544.2,,
9187013,9808966,0.4,38359.94,,
7841800,8437668,0.34,38191.87,,
1356749,5798430,0.12,38017.37,,
7556828,4501048,0.24,38010.48,,
5672404,5998318,0.24,37981.87,,
4398003,5984224,0.22,37940.89,,
7960269,8048025,0.34,37896.68,,
6976386,4646470,0.24,37819.28,,
1897364,7377495,0.16,37420.13,,
8653396,3149710,0.22,37195.38,,
4796856,9939040,0.29,37140.57,,
8671127,5663761,0.3,37115.71,,
7940369,9180863,0.36,36861.84,,
5480180,3128454,0.18,36850.11,,
8587752,7103327,0.33,36845.93,,
6306172,2546264,0.17,36818.6,,
3843597,4913703,0.19,36749.92,,
1343185,8538932,0.14,36679.84,,
3692678,8915175,0.25,36503.14,,
997252,5465114,0.1,36362.52,,
6924779,3849544,0.22,36259.2,,
1855514,9732899,0.18,36180.16,,
5823439,7113595,0.28,36129.02,,
3998524,7650128,0.24,36032.11,,
5484542,9496970,0.31,35965.21,,
1628541,5311062,0.13,35965.13,,
3908043,9982498,0.27,35837.5,,
6008696,4946359,0.24,35706.48,,
5357554,8224549,0.29,35640.35,,
2400375,8717111,0.2,35449.95,,
9544235,9900547,0.42,35368.59,,
6695768,5457130,0.26,35309.95,,
3266731,2500343,0.12,34945.25,,
9942334,4228013,0.28,34931.12,,
1556621,4100227,0.11,34875.12,,
7639270,9847445,0.38,34768.11,,
6965617,4148675,0.24,34622.84,,
8379159,3076551,0.22,34545.28,,
8997451,9042596,0.4,34439.3,,
5763990,9114938,0.32,34393.42,,
6073001,4001416,0.22,34352.72,,
2603747,8857354,0.21,34249.06,,
9978611,7968244,0.39,34035.88,,
7877689,8619784,0.37,33882.69,,
7422165,3071758,0.21,33282.84,,
9146995,5830884,0.33,33024.17,,
7095397,5098943,0.27,32738.31,,
7885445,3660624,0.24,32525.03,,
5345529,8717940,0.31,32491.34,,
8584234,4074920,0.27,32469.13,,
6343338,8567613,0.33,32424.78,,
4727896,9353428,0.3,32217.07,,
1886773,8368369,0.18,32168.52,,
8146869,8939639,0.39,32163.94,,
5816827,3172913,0.2,32007.93,,
5182783,8430351,0.3,31998.16,,
8164385,7536062,0.36,31946.66,,
8775187,4848135,0.3,31667.46,,
6301180,6560468,0.3,31630.68,,
1838763,5129023,0.14,31628.99,,
3869633,4629358,0.19,31491.32,,
3018476,5830375,0.19,31430.1,,
4443035,2355333,0.15,31178.9,,
5094153,3871218,0.21,31177.25,,
3404087,7829857,0.24,31174.77,,
3343028,6339340,0.21,31108.68,,
4025727,8151914,0.27,31092.36,,
5932202,9595001,0.35,30990.41,,
5994950,5193096,0.26,30898.81,,
7445498,9663731,0.4,30384.98,,
9070927,2499703,0.22,30330.06,,
6922887,8243672,0.36,30203.82,,
1542400,3512075,0.11,30073.67,,
8675716,844083,0.13,30026.29,,
9339028,2610312,0.23,29898.1,,
9384162,3652064,0.28,29879.39,,
7246073,2463396,0.2,29719.05,,
7782452,8718933,0.39,29532.15,,
3817390,7429264,0.25,29418.09,,
9268201,6911346,0.38,29340.94,,
7199274,2521482,0.2,29112.04,,
8700555,5493513,0.33,29066.78,,
9938547,7532102,0.42,28733.72,,
6867488,7731096,0.35,28384.3,,
7403960,9982777,0.42,27733.92,,
9857255,7655551,0.43,27638.75,,
4157642,7481530,0.27,27584.94,,
6938336,9462014,0.4,27528.05,,
1564913,5261465,0.14,27260.94,,
8785819,5266719,0.34,27143.04,,
6910390,2395915,0.2,26986.45,,
5835449,6566455,0.31,26943.34,,
9319543,6080595,0.38,26873.71,,
1772411,9105112,0.2,26578.64,,
8385126,9256336,0.44,26526.58,,
8020230,4557510,0.3,26415.55,,
5064889,7687268,0.31,26297.2,,
8456477,6893033,0.39,26147.34,,
9795732,6125773,0.39,26095.56,,
4572603,8668271,0.32,26082.88,,
9446164,2251844,0.24,25689.09,,
5310031,6711702,0.3,25646.24,,
5446043,2205734,0.18,25508.98,,
9155821,9555876,0.48,25330.91,,
9148590,8163555,0.44,25291.25,,
4185821,4538768,0.22,25144.73,,
5338973,8149661,0.34,25083.12,,
2645361,1729108,0.11,25034.36,,
6391811,5986941,0.32,24902.79,,
5520869,8607530,0.36,24823.91,,
4718098,8688656,0.33,24800.24,,
8409084,7338091,0.41,24687.75,,
9834230,8503152,0.48,24671.29,,
6947663,5121246,0.31,24638.44,,
9859060,3226372,0.29,24634.68,,
3067997,4527046,0.19,24542.68,,
7299549,1538512,0.17,24512.6,,
9246748,3465061,0.3,24162.71,,
5829149,5728454,0.3,24062.68,,
4824160,3170789,0.21,24033.84,,
3841853,4291871,0.21,23964.13,,
8339492,7687437,0.42,23947.16,,
1417826,7951028,0.18,23928.38,,
5897114,9390371,0.39,23926.59,,
7138980,2046768,0.2,23826.52,,
8985887,6345257,0.4,23809.84,,
355222,9822525,0.1,23710.05,,
9779545,5864326,0.4,23487.14,,
8089797,7251771,0.41,23480.25,,
3697540,2316148,0.16,23403.84,,
8736162,6267035,0.4,23363.04,,
4480932,1575784,0.14,23348.73,,
3696488,8233368,0.3,23238.04,,
7066777,9143603,0.43,23210.41,,
2715002,2053989,0.13,23058.8,,
8159635,8921420,0.46,23023.19,,
4566072,9925314,0.36,22980.92,,
2869619,9891078,0.29,22803.63,,
5528651,9456870,0.39,22769.29,,
3570042,6199010,0.25,22740.02,,
4836224,3224035,0.21,22606.69,,
9861026,3580356,0.32,22585.31,,
7689378,5482338,0.35,22542.04,,
3037199,6728354,0.25,22501.95,,
1681192,9467992,0.22,22459.91,,
1934472,9849159,0.24,22390.98,,
9055798,7149826,0.44,22364.23,,
8019715,9873683,0.49,22274.6,,
8592732,6174084,0.4,22179.31,,
7359911,7107544,0.4,22113.22,,
9107157,6190184,0.41,22083.72,,
1497195,9545301,0.21,22056.42,,
2643586,6771037,0.23,21968.22,,
4030486,8146201,0.32,21687.52,,
8770709,6519767,0.42,21679.44,,
9378592,7968001,0.48,21577.56,,
6939736,2872857,0.25,21464.51,,
8278955,3124836,0.28,21387.99,,
6853625,8839469,0.44,21326.18,,
9767427,9625779,0.54,21324.45,,
7646318,7202031,0.42,21220.47,,
5553511,2961149,0.23,21170.15,,
3130150,5097547,0.22,21032.48,,
6868087,2125388,0.22,21016.38,,
1631329,9472614,0.22,21002.69,,
3102363,7810772,0.28,20649.31,,
5517520,8093543,0.38,20602.04,,
7264701,787800,0.14,20433.77,,
7306768,4216826,0.32,20356.24,,
7801897,5828532,0.39,20335.69,,
7309220,1453315,0.19,20329.5,,
5113094,5874694,0.31,20316.54,,
8040325,5732782,0.39,20239.51,,
8645225,5617009,0.4,20208.95,,
8798902,6006330,0.42,20117.75,,
3121484,7123373,0.27,20077.35,,
8728553,4297559,0.36,19772.71,,
5104848,1801754,0.18,19722.5,,
3987170,5712140,0.28,19656.21,,
5261821,4856875,0.29,19614.04,,
9719992,8915241,0.54,19605.85,,
5543326,5553505,0.32,19568.22,,
4558588,9307494,0.38,19445.79,,
457040,9691874,0.12,19362.95,,
5733125,5588594,0.33,19303.3,,
8197702,3372232,0.31,19298.47,,
5836431,5605368,0.34,19274.55,,
9279541,1253176,0.2,19241.39,,
4318422,3228563,0.22,19193.86,,
7282980,7974207,0.45,19170.6,,
819148,7150913,0.14,18975.78,,
7271073,8323198,0.46,18967.73,,
8959048,4717468,0.39,18960.65,,
7284971,3941836,0.32,18948.83,,
4271080,2452388,0.19,18895.55,,
9926589,5559539,0.44,18662.35,,
5761309,9261170,0.44,18516.75,,
2583218,9339820,0.29,18509.35,,
6047525,9765584,0.46,18435.21,,
5487529,7236687,0.38,18415.81,,
5115746,3932881,0.27,18344,,
9449635,7604425,0.51,18231.44,,
4170690,8053213,0.35,18137.21,,
5883898,4123627,0.3,18114.62,,
3495138,6323361,0.29,18066.5,,
5515733,7545606,0.39,18065.45,,
3719396,1995410,0.17,18064.41,,
6657295,3764893,0.3,18042.61,,
4725736,4066438,0.27,17930.58,,
1371734,8061786,0.2,17891.45,,
9351669,5639096,0.44,17850.97,,
7449009,6044233,0.41,17845.87,,
8135773,1513933,0.22,17651.3,,
4645493,8898041,0.4,17632.8,,
4903920,6256021,0.34,17517.14,,
6268060,7987057,0.44,17469.74,,
8422881,2901102,0.31,17304.76,,
3761883,8751771,0.36,17295.38,,
2657613,6791581,0.26,17282.67,,
5280043,485704,0.1,17280.28,,
2156358,5925848,0.22,17270.85,,
8583094,7077734,0.49,17175.43,,
8930578,6321667,0.47,17169.31,,
2124566,1835725,0.12,17129.93,,
5697807,7231714,0.4,17106.8,,
4258688,6717584,0.34,16884.71,,
8033247,2822077,0.3,16873.9,,
6586109,7428602,0.44,16851.76,,
9282185,6088285,0.47,16832.92,,
6465669,7222386,0.43,16832.5,,
9046438,6728917,0.49,16767.33,,
1814078,7358368,0.23,16608.46,,
5552722,6749422,0.39,16555.76,,
7325299,7355333,0.47,16393.09,,
3496225,5999911,0.29,16374.29,,
8999886,8452029,0.56,16371.56,,
9750435,9840177,0.63,16281.82,,
4071422,7348393,0.35,16170.94,,
8924597,4744596,0.42,16147.83,,
6964491,9554853,0.52,16113.5,,
8121023,5370628,0.43,16102.04,,
8580923,8748497,0.56,16067.22,,
7858687,7266893,0.49,15960.44,,
2003362,7551713,0.25,15960,,
6139483,8938589,0.48,15952.61,,
9949554,8196060,0.58,15950.08,,
7911639,3184061,0.33,15878.05,,
8596691,6926531,0.5,15829.89,,
6652816,8558643,0.49,15793.54,,
8906317,6933645,0.51,15771.9,,
2510638,1110499,0.11,15768.61,,
8730564,9449377,0.59,15744.93,,
7402095,5953019,0.44,15517.28,,
6716721,9096418,0.51,15496.39,,
1401912,2001499,0.11,15425.11,,
809952,9628452,0.18,15393.68,,
4179105,3696210,0.26,15306.66,,
4196623,6575912,0.35,15288.71,,
8218231,5932391,0.46,15253.22,,
2875618,5023773,0.25,15201.27,,
6446449,5114341,0.38,15194.91,,
4444579,637419,0.11,15168.25,,
9670637,4496881,0.44,15141.17,,
6858277,8915648,0.52,15136.98,,
3978201,6128334,0.33,15134.71,,
4735376,8776062,0.43,15085.02,,
4137916,4611021,0.29,15066.19,,
7225552,6118600,0.44,15064.61,,
7570929,9044544,0.55,14973.14,,
9952774,940533,0.2,14934.32,,
8586691,7365089,0.53,14876.64,,
7141780,5707485,0.43,14876.44,,
2938612,8996636,0.34,14833.8,,
7410320,7269415,0.49,14820.81,,
8099768,4283552,0.4,14799.47,,
3225057,8362124,0.35,14768.91,,
2561727,6026125,0.26,14726.48,,
8751933,2417995,0.31,14699.01,,
9228397,9790555,0.64,14695.46,,
6728616,8372469,0.51,14683.5,,
9116833,1391648,0.24,14675.91,,
8187277,7305835,0.52,14641.14,,
4128967,8275856,0.39,14617.65,,
3842073,7258434,0.36,14603.12,,
9062691,5569283,0.48,14558.64,,
8257976,3110768,0.34,14552.71,,
2505341,4834030,0.24,14520.35,,
5270851,6434548,0.39,14510.9,,
9329912,9027975,0.62,14503.49,,
8357580,8060739,0.56,14453.04,,
4461413,9114125,0.43,14366.97,,
6482677,6018959,0.43,14306.83,,
7878389,3284741,0.35,14256.27,,
4107244,8893290,0.41,14216.26,,
588830,8215879,0.15,14177.06,,
4987214,8867797,0.46,14144.24,,
4795440,6607290,0.39,14040.65,,
8144342,3836419,0.39,14009.4,,
319449,8789785,0.12,14007.4,,
3352099,9406244,0.39,13962.61,,
2437491,9463673,0.33,13938.14,,
2121744,4894682,0.22,13887.52,,
2670188,9923280,0.36,13828.37,,
4297629,9010952,0.43,13823.39,,
6261608,8174867,0.5,13725.3,,
4371410,7019301,0.39,13632.03,,
5717847,9304140,0.51,13605,,
7951679,358806,0.12,13583.04,,
3158373,6888211,0.33,13555.29,,
8880983,2657098,0.34,13533.28,,
9319231,8733827,0.63,13529.98,,
8409081,4996475,0.46,13459.89,,
6851956,8930730,0.55,13403.23,,
9895807,1894170,0.31,13395.18,,
6226725,7886957,0.5,13366.59,,
6255424,2441071,0.28,13226.86,,
3512613,7314802,0.36,13193.71,,
8789356,9747636,0.66,13134.1,,
6808177,9082991,0.56,13130.84,,
6952712,6610531,0.48,13096.72,,
5175541,4438263,0.34,13038.83,,
3726881,8004985,0.39,13030.94,,
7039522,1497906,0.23,12996.18,,
8703526,4461892,0.45,12966.17,,
3053892,6433861,0.32,12958.15,,
5298548,623236,0.13,12932.62,,
3595485,9487167,0.42,12884.48,,
1560934,2488013,0.14,12864.4,,
4693744,4654937,0.34,12835.26,,
654535,5899252,0.14,12751.48,,
1333111,9349944,0.26,12702.34,,
8752654,7286879,0.58,12675.1,,
2717649,8568067,0.35,12674.65,,
8211555,2031906,0.3,12587.52,,
3436555,5357457,0.31,12585.46,,
1325283,5289811,0.19,12527.95,,
4227055,4785151,0.33,12507.19,,
4114150,6814596,0.39,12457.2,,
3739942,5707328,0.34,12431.63,,
2799057,5136228,0.28,12407.29,,
6454117,4911120,0.41,12353.58,,
6940039,7725999,0.54,12350.51,,
5641719,4196789,0.36,12348.32,,
7335493,8447643,0.58,12308.71,,
5631540,9590681,0.54,12263.4,,
4470569,3797165,0.3,12220.9,,
3594680,8072034,0.4,12176.57,,
5947832,9952347,0.57,12129.68,,
6714622,8210768,0.55,12100.7,,
7415281,5844177,0.49,12076.09,,
9741678,3454380,0.43,12054.99,,
8119969,8154087,0.61,12023.94,,
5000407,6066401,0.41,12020.03,,
6692562,1563212,0.24,11966.62,,
4411953,1266003,0.18,11946.51,,
8090948,7738656,0.59,11937.49,,
5194936,6835278,0.45,11930.75,,
7660734,6803223,0.54,11927.61,,
5571278,2483932,0.28,11893.59,,
2014509,9921872,0.34,11860.34,,
3163556,9303933,0.41,11860.06,,
7661625,1560186,0.26,11852.32,,
8647355,1669011,0.29,11828.6,,
1790680,9630680,0.31,11767.91,,
1265410,5920338,0.21,11767.3,,
9301780,1497448,0.28,11750.71,,
7377771,8485906,0.6,11723.21,,
5950975,5525268,0.43,11720.17,,
9365866,8144986,0.66,11703.56,,
7734182,8777489,0.62,11702.74,,
2864148,8196500,0.37,11687.11,,
5753888,7443068,0.5,11658.68,,
8232760,4321725,0.45,11588.56,,
7764901,6797207,0.55,11528.99,,
5201002,9034415,0.52,11528.12,,
7523148,7630868,0.58,11512.03,,
7765475,2048199,0.3,11486.81,,
8887675,9054295,0.68,11455.33,,
1310308,9367552,0.27,11320.61,,
4418253,5613184,0.38,11259.44,,
4592951,6167152,0.41,11241.05,,
9832360,5650489,0.57,11241,,
8090028,6886063,0.58,11227.98,,
6282534,5764301,0.46,11218.99,,
5603677,2185877,0.27,11190.9,,
3736205,3365932,0.27,11184.44,,
9131614,1215234,0.26,11180.15,,
9109702,7464365,0.64,11176.41,,
6063626,6305044,0.48,11145.96,,
9332925,3236858,0.43,11123.94,,
4567501,9772930,0.52,11120.07,,
8512695,6532032,0.58,11115.95,,
7297823,9507770,0.65,11115.17,,
9167252,2668945,0.38,11089.84,,
7060424,4941818,0.46,11083.35,,
3085468,9195395,0.41,11073.73,,
7525757,1440740,0.26,11026.36,,
4734505,4492478,0.36,11017.96,,
9767696,4807899,0.53,10979.46,,
6617398,9154419,0.61,10978.7,,
9140534,7556580,0.65,10921.82,,
3591916,3961737,0.3,10910.69,,
4733035,8548405,0.5,10895.2,,
9095277,4797730,0.52,10834.27,,
8645907,2136168,0.34,10833.51,,
6594172,7497089,0.55,10816,,
2539685,1223585,0.14,10806.64,,
2956154,8496864,0.39,10798.43,,
6303799,7082993,0.53,10782.45,,
8707119,3238655,0.42,10778.35,,
9049812,7916878,0.67,10756.61,,
7232881,4073602,0.43,10655.79,,
9992998,6001943,0.61,10622.49,,
9697215,2593037,0.4,10619.41,,
9438146,5704797,0.58,10600.69,,
9602038,1173184,0.27,10600.42,,
4185773,9205742,0.49,10532.94,,
7599391,6351920,0.55,10532.83,,
8863933,7113659,0.63,10528.3,,
5685480,1754672,0.25,10500.63,,
6967076,9549673,0.65,10499.67,,
6609561,9679333,0.64,10447.36,,
8181597,8025839,0.65,10426.37,,
5286921,7164703,0.49,10358.37,,
4527080,6158620,0.42,10351.14,,
6103971,7068190,0.53,10307.41,,
9599078,7519614,0.68,10279.33,,
8249637,2635396,0.38,10239.65,,
2174317,8822715,0.35,10179.64,,
6945116,3269092,0.39,10126.31,,
9165357,2484295,0.39,10117.15,,
2596120,4325870,0.27,10100.26,,
8559844,2731618,0.39,10097.98,,
6767610,9984228,0.67,10091.19,,
6841701,9702297,0.66,10084.73,,
7444611,9442180,0.68,10072.64,,
9788277,6341616,0.64,10071.35,,
6159677,6369050,0.51,10025.49,,
7296271,6426853,0.56,10023.72,,
1571637,5578571,0.24,9998.91,,
9224712,1622249,0.32,9989.54,,
5224268,4098368,0.38,9974.42,,
8198030,6777792,0.61,9955.31,,
8548905,2559461,0.38,9904.31,,
9469628,4798323,0.55,9869.81,,
5084877,7894718,0.52,9844.07,,
7304885,3253171,0.4,9789.49,,
6272473,7818759,0.58,9723.72,,
6354452,924448,0.2,9702.79,,
3970006,3943839,0.33,9681.72,,
4042431,6631186,0.43,9679.51,,
8001239,8107449,0.67,9637.31,,
8103264,7041005,0.63,9609.31,,
4736349,4860866,0.4,9603.23,,
4073431,5146957,0.38,9592.68,,
3992650,6296165,0.42,9529.03,,
7524252,5571104,0.54,9504.11,,
7949713,4868667,0.52,9461.51,,
6897315,2783294,0.37,9412.13,,
5927405,5189779,0.47,9409.19,,
7591112,5350291,0.54,9404.86,,
5295003,1888934,0.27,9388.08,,
5868077,4161319,0.42,9345.45,,
5103038,6235792,0.48,9310.56,,
2473784,5109099,0.3,9308.57,,
8665523,7049703,0.67,9215.96,,
8896435,1503672,0.31,9203.93,,
5130958,3293430,0.35,9200.93,,
9351140,4663607,0.56,9189.49,,
9445184,9746207,0.82,9183.34,,
6273626,9044204,0.64,9107.91,,
6172855,2825264,0.36,9103.78,,
8707211,7853470,0.71,9099.53,,
5894253,2073018,0.3,9097.01,,
646372,6458328,0.18,9046.75,,
314274,9449519,0.15,8977.25,,
8476791,1826774,0.34,8975.94,,
9700154,6907716,0.71,8969.78,,
3089253,6994923,0.4,8965.03,,
3332103,7671937,0.44,8894.39,,
7589948,9047860,0.72,8874.04,,
6580841,6791318,0.58,8859.88,,
5052701,3505505,0.37,8825.85,,
7411627,6766103,0.62,8821.72,,
2935557,6845240,0.39,8813.66,,
1076726,4177965,0.18,8812.02,,
5204092,6188332,0.49,8776.45,,
8214989,7031018,0.66,8772.57,,
6050626,6712024,0.56,8764.39,,
7888125,9973448,0.78,8729.84,,
7784724,9029380,0.73,8700.84,,
5898531,9431555,0.65,8685.92,,
8585087,6570714,0.66,8681.94,,
7930841,4463071,0.52,8671.61,,
7432626,9674276,0.75,8599.34,,
7020515,7331853,0.63,8568.65,,
6190358,8577685,0.64,8565.68,,
3705825,7909614,0.48,8536.67,,
1249364,8547727,0.29,8524.62,,
7827733,6840172,0.65,8465.94,,
8090464,3840850,0.5,8438.94,,
5595166,1998167,0.3,8436.89,,
4910188,8853195,0.59,8418.1,,
8945442,2406988,0.41,8407.08,,
8027858,7496579,0.69,8403.24,,
874509,3888019,0.16,8346.84,,
364357,7445606,0.15,8327.26,,
4172635,7124051,0.49,8327.02,,
8905994,2690533,0.44,8319.59,,
8326117,3818209,0.51,8312.54,,
9560346,2604031,0.45,8277.42,,
8297523,7238077,0.7,8256.26,,
9050584,9921990,0.85,8231.52,,
6875363,6367908,0.6,8213.16,,
2580074,5773440,0.35,8189.63,,
8370040,8348699,0.76,8179.52,,
4126204,3532439,0.34,8173.59,,
6257437,4416850,0.48,8170.32,,
2157706,6091990,0.33,8145.93,,
4242039,6172400,0.46,8143.57,,
4137147,1157070,0.2,8139.02,,
6966838,6179878,0.59,8127.56,,
5466075,7829840,0.59,8117.2,,
4938467,6037788,0.5,8107.75,,
6877238,9195267,0.72,8098.18,,
5146636,1750805,0.27,8073.54,,
1782264,5632322,0.29,8066.18,,
5972051,3709856,0.43,8060.13,,
8902997,3145283,0.48,8034.2,,
7833431,7661175,0.71,8020.95,,
8166466,5598555,0.62,8020.24,,
6637344,5782416,0.57,7999.68,,
1464395,4749277,0.24,7999.39,,
2764626,8077959,0.43,7986.98,,
7447626,9954547,0.79,7979.3,,
3280105,6956012,0.44,7968.91,,
1550933,6944154,0.3,7966.91,,
3512214,3457254,0.32,7948.24,,
4158595,9895273,0.59,7943.7,,
5766208,8281140,0.63,7932.23,,
8434260,5400273,0.62,7920.2,,
821317,6598435,0.22,7810.2,,
3425231,4597422,0.37,7769.96,,
8305542,5879803,0.65,7764.26,,
6366656,8335711,0.68,7758.87,,
9858273,3532565,0.55,7756.28,,
3237136,5861720,0.4,7753.07,,
1787555,2207864,0.18,7736.05,,
8189951,8390438,0.77,7727.11,,
9975367,996966,0.29,7711.99,,
6926376,9481817,0.75,7703.13,,
5522471,2393109,0.34,7701.1,,
8107587,9286886,0.81,7696.34,,
2937039,4216683,0.33,7686.2,,
4247968,8405680,0.56,7661.99,,
2018209,8837814,0.39,7658.31,,
970247,9715502,0.29,7652.64,,
7289794,9036431,0.76,7651.71,,
5712638,2248046,0.33,7641.24,,
7357106,6946163,0.67,7640.04,,
5836316,4299921,0.47,7633.01,,
6867269,6443532,0.62,7632.5,,
5995382,9826414,0.72,7626.82,,
8758382,4307349,0.58,7608.34,,
4833665,2453614,0.32,7572.26,,
9867752,4770380,0.64,7568.36,,
947622,8195508,0.26,7556.1,,
2125658,5561537,0.32,7547.96,,
9489021,3674815,0.56,7500.54,,
9643599,4785262,0.64,7497.54,,
8902012,8723786,0.83,7493.52,,
9651638,5919036,0.71,7484.12,,
8793907,1871943,0.38,7425.4,,
7618239,177167,0.11,7422.86,,
3627761,7100460,0.48,7391.85,,
824655,6352278,0.22,7385.86,,
8363050,7129798,0.73,7377.64,,
5622834,2271408,0.34,7364.41,,
198852,6691482,0.11,7340.43,,
9536374,7671418,0.82,7332.35,,
7667508,7716287,0.73,7310.01,,
9900485,9773073,0.94,7298.78,,
5940343,5884139,0.57,7268.43,,
8183768,6903567,0.72,7259.55,,
1942792,5221929,0.31,7242.64,,
2886195,3638909,0.31,7235.99,,
6501638,7350686,0.66,7215.37,,
5344178,1184569,0.24,7198.81,,
6508009,4446801,0.52,7110.12,,
6234412,9964281,0.76,7096.81,,
5777037,7336242,0.63,7096.08,,
8129092,5730339,0.66,7094.81,,
6809887,5007145,0.57,7052.88,,
7402509,6264343,0.66,7027.75,,
9973138,4123609,0.63,7022.21,,
